,Time Series Workbook,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,,
,,,,,,,,,,,,
,,,Enquiries,,,,,,,,,
,,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,
,,,,,,,,,,,,
> Employed full-time ;  > Females ;  > Northern Territory ;,,,Original,A84423791K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Females ;  > Australian Capital Territory ;,,,Trend,A84424099J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Females ;  > Australian Capital Territory ;,,,Original,A84423763A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  Australia ;,,,Trend,A84423126K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  Australia ;,,,Seasonally Adjusted,A84423042A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  Australia ;,,,Original,A84423084X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > New South Wales ;,,,Original,A84423610L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Victoria ;,,,Original,A84423694J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Queensland ;,,,Original,A84423624A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > South Australia ;,,,Original,A84423708K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Western Australia ;,,,Original,A84423666X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Tasmania ;,,,Original,A84423638R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Northern Territory ;,,,Original,A84423680V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  Persons ;  > Australian Capital Territory ;,,,Original,A84423652K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  Australia ;,,,Trend,A84423112W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  Australia ;,,,Seasonally Adjusted,A84423028F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  Australia ;,,,Original,A84423070K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > New South Wales ;,,,Original,A84423498X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Victoria ;,,,Original,A84423582R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Queensland ;,,,Original,A84423512J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > South Australia ;,,,Original,A84423596C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Western Australia ;,,,Original,A84423554F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Tasmania ;,,,Original,A84423526W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Northern Territory ;,,,Original,A84423568V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Males ;  > Australian Capital Territory ;,,,Original,A84423540T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  Australia ;,,,Trend,A84423140F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  Australia ;,,,Seasonally Adjusted,A84423056R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  Australia ;,,,Original,A84423098L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > New South Wales ;,,,Original,A84423722F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Victoria ;,,,Original,A84423806R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Queensland ;,,,Original,A84423736V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > South Australia ;,,,Original,A84423820K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Western Australia ;,,,Original,A84423778T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Tasmania ;,,,Original,A84423750R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Northern Territory ;,,,Original,A84423792L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed part-time ;  > Females ;  > Australian Capital Territory ;,,,Original,A84423764C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employment to population ratio ;  Persons ;  Australia ;,,,Trend,A84423138V,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  Australia ;,,,Seasonally Adjusted,A84423054K,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  Australia ;,,,Original,A84423096J,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > New South Wales ;,,,Trend,A84423944L,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > New South Wales ;,,,Seasonally Adjusted,A84423272J,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > New South Wales ;,,,Original,A84423608A,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Victoria ;,,,Trend,A84424028X,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Victoria ;,,,Seasonally Adjusted,A84423356T,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Victoria ;,,,Original,A84423692C,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Queensland ;,,,Trend,A84423958A,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Queensland ;,,,Seasonally Adjusted,A84423286W,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Queensland ;,,,Original,A84423622W,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > South Australia ;,,,Trend,A84424042V,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > South Australia ;,,,Seasonally Adjusted,A84423370L,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > South Australia ;,,,Original,A84423706F,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Western Australia ;,,,Trend,A84424000W,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Western Australia ;,,,Seasonally Adjusted,A84423328J,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Western Australia ;,,,Original,A84423664V,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Tasmania ;,,,Trend,A84423972W,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Tasmania ;,,,Seasonally Adjusted,A84423300F,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
Employment to population ratio ;  Persons ;  > Tasmania ;,,,Original,A84423636K,Feb-1978,Apr-2026,579,Percent,PERCENT,Month,1,
